Z-Piezo Deflection [nm]	Tip Deflection on Retraction [nm]	Tip Deflection on Approach [nm]
-223.4372	-261.7203	23.43431
-220.8981	-263.6574	23.38288
-218.3591	-265.6289	23.31431
-215.82	-267.5489	23.26288
-213.2809	-269.4346	23.24574
-210.7419	-271.3889	23.17717
-208.2028	-273.2917	23.07431
-205.6638	-275.2118	23.05717
-203.1247	-277.0803	22.97145
-200.5857	-279.0003	22.93717
-198.0466	-280.8689	22.85146
-195.5076	-282.7375	22.76574
-192.9685	-284.606	22.7486
-190.4294	-286.4232	22.66288
-187.8904	-288.326	22.56003
-185.3513	-290.1775	22.44003
-182.8123	-291.9946	22.33717
-180.2732	-293.8803	22.21717
-177.7341	-295.6975	22.11431
-175.1951	-297.5489	21.97717
-172.656	-299.2803	21.87431
-170.1169	-301.0975	21.97717
-167.5779	-302.9832	21.92574
-165.0388	-304.7318	21.84002
-162.4998	-306.5318	21.75431
-159.9607	-308.2975	21.6686
-157.4216	-310.0804	21.5486
-154.8826	-311.9318	21.44574
-152.3436	-313.6289	21.34288
-149.8045	-315.4118	21.22288
-147.2654	-317.1261	21.0686
-144.7264	-318.8747	21.00002
-142.1873	-320.6061	20.88002
-139.6483	-322.3032	20.81145
-137.1092	-324.0518	20.7086
-134.5701	-325.7661	20.58859
-132.0311	-327.4632	20.4686
-129.492	-329.1775	20.40002
-126.9529	-330.8918	20.28002
-124.4139	-332.6232	20.12574
-121.8748	-334.2347	20.02288
-119.3358	-335.9147	19.92002
-116.7967	-337.5947	19.81717
-114.2576	-339.2747	19.88574
-111.7186	-340.9547	19.78288
-109.1796	-342.549	19.73145
-106.6405	-344.1947	19.62859
-104.1014	-345.8747	19.54288
-101.5624	-347.5033	19.44002
-99.02332	-349.0633	19.38859
-96.48425	-350.7261	19.26859
-93.94519	-352.3033	19.20002
-91.40613	-353.9318	19.13145
-88.86707	-355.509	19.08002
-86.328	-357.1033	18.97717
-83.78894	-358.6976	18.92574
-81.24988	-360.2576	18.94288
-78.71082	-361.8004	18.92574
-76.17175	-363.3947	18.87431
-73.63269	-364.9547	18.78859
-71.09363	-366.5147	18.68574
-68.55457	-368.0919	18.65145
-66.01556	-369.5147	18.61716
-63.4765	-371.109	18.56573
-60.93744	-372.7033	18.51431
-58.39838	-374.1604	18.49716
-55.85931	-375.6176	18.42859
-53.32025	-377.1433	18.41145
-50.78119	-378.6176	18.37716
-48.24213	-380.1604	18.37716
-45.70306	-381.6004	18.34288
-43.164	-383.0747	18.36002
-40.62494	-384.5662	18.34288
-38.08588	-386.0404	18.34288
-35.54681	-387.429	18.39431
-33.00775	-388.9033	18.37716
-30.46869	-390.3947	18.37716
-27.92963	-391.8347	18.36002
-25.39056	-393.2404	18.34288
-22.85156	-394.6462	18.30859
-20.3125	-396.069	18.34288
-17.77344	-397.509	18.32574
-15.23438	-398.9147	18.30859
-12.69531	-400.269	18.29145
-10.15625	-401.6576	18.30859
-7.617188	-403.1147	18.27431
-5.078125	-404.4348	18.34288
-2.539063	-405.7548	18.41145
0	-407.1605	18.41145
2.539063	-391.869	18.42859
5.078125	16.62859	18.46288
7.617188	17.41716	18.51431
10.15625	17.58859	18.51431
12.69531	17.67431	18.53145
15.23438	17.74288	18.53145
17.77344	17.82859	18.56573
20.3125	17.88002	18.56573
22.8515	17.96573	18.60002
25.39056	18.01716	18.60002
27.92963	18.06859	18.63431
30.46869	18.13716	18.61716
33.00775	18.20574	18.63431
